epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5585,2.73931,4.1207,3.81937,0,0,0,0,2.081,4.11881,3.93135,0.000547247,0.000547247,0.000547247
2,42.9611,2.45477,3.15812,3.1557,0.47397,0.41178,0.46393,0.19446,1.67648,2.94353,2.61915,0.00108108,0.00108108,0.00108108
3,61.8821,2.21677,2.66535,2.8619,0.47738,0.84438,0.55255,0.23615,1.87543,3.01737,2.40703,0.0015929,0.0015929,0.0015929
4,82.3721,1.94714,2.16335,2.52894,0.49824,0.76464,0.51719,0.12325,2.33473,10.6592,3.05234,0.00156798,0.00156798,0.00156798
5,101.267,1.67496,1.91991,2.30159,0.51742,0.94047,0.60818,0.32646,1.59122,1.33182,2.08175,0.00153497,0.00153497,0.00153497
6,120.988,1.48611,1.75811,2.11254,0.4571,0.7172,0.65674,0.38739,1.38418,1.4275,1.83889,0.00150197,0.00150197,0.00150197
7,139.33,1.35703,1.55709,1.94971,0.47252,0.88636,0.66215,0.36264,1.64489,1.30199,1.9278,0.00146896,0.00146896,0.00146896
8,158.999,1.32963,1.45877,1.9029,0.82866,0.74005,0.79965,0.52484,1.22281,1.39216,1.61396,0.00143595,0.00143595,0.00143595
9,177.583,1.23443,1.32664,1.79887,0.77062,0.80971,0.83714,0.51243,1.39595,1.09319,1.72037,0.00140295,0.00140295,0.00140295
10,196.987,1.18638,1.30229,1.74056,0.82458,0.82913,0.83899,0.43297,1.77011,1.1206,2.15029,0.00136994,0.00136994,0.00136994
11,215.585,1.14438,1.22519,1.70211,0.75229,0.81465,0.84964,0.48819,1.61099,1.03032,1.86904,0.00133693,0.00133693,0.00133693
12,236.661,1.12159,1.19396,1.67855,0.7363,0.85239,0.87404,0.53241,1.43242,1.03979,1.75504,0.00130393,0.00130393,0.00130393
13,255.105,1.07484,1.12533,1.63145,0.76429,0.86364,0.85377,0.5887,1.20089,0.89338,1.48905,0.00127092,0.00127092,0.00127092
14,274.601,1.05901,1.08905,1.61096,0.58539,0.71186,0.7589,0.48954,1.38403,1.56459,1.72606,0.00123791,0.00123791,0.00123791
15,292.955,1.02343,1.07644,1.56779,0.7748,0.81808,0.88826,0.63347,1.18285,0.91481,1.51254,0.00120491,0.00120491,0.00120491
16,312.576,1.00945,1.02345,1.54675,0.84072,0.79786,0.863,0.55215,1.31392,0.8974,1.60468,0.0011719,0.0011719,0.0011719
17,331.035,0.9711,1.00082,1.51835,0.74639,0.73979,0.83128,0.49094,1.57425,1.18411,1.90133,0.00113889,0.00113889,0.00113889
18,350.326,0.97079,1.00945,1.5247,0.8189,0.90062,0.88326,0.61535,1.1739,0.79941,1.45504,0.00110589,0.00110589,0.00110589
19,369.539,0.93332,0.96846,1.48407,0.76596,0.87789,0.86755,0.56045,1.31116,0.9075,1.60184,0.00107288,0.00107288,0.00107288
20,388.448,0.94628,0.97232,1.49566,0.80472,0.84138,0.85793,0.69453,0.78749,0.91931,1.17204,0.00103987,0.00103987,0.00103987
21,407.93,0.90047,0.92902,1.44955,0.84081,0.82396,0.87976,0.606,1.11597,0.77595,1.43233,0.00100687,0.00100687,0.00100687
22,426.576,0.87802,0.89892,1.43166,0.76959,0.88953,0.89535,0.67627,0.94463,0.70577,1.24579,0.000973861,0.000973861,0.000973861
23,446.03,0.85174,0.87329,1.3967,0.84532,0.90351,0.88934,0.62603,1.14998,0.7503,1.44649,0.000940855,0.000940855,0.000940855
24,464.729,0.85949,0.90131,1.41139,0.85207,0.82737,0.87838,0.599,1.16185,0.80508,1.48796,0.000907848,0.000907848,0.000907848
25,485.248,0.84252,0.85632,1.39615,0.78778,0.86296,0.8881,0.71701,0.78101,0.67308,1.162,0.000874842,0.000874842,0.000874842
26,503.804,0.8296,0.88355,1.38176,0.91,0.76416,0.89708,0.66703,1.00754,0.68365,1.31923,0.000841835,0.000841835,0.000841835
27,523.571,0.79341,0.84952,1.35748,0.76996,0.92434,0.90633,0.77777,0.61291,0.6562,1.07509,0.000808828,0.000808828,0.000808828
28,542.294,0.79853,0.84882,1.35796,0.81356,0.90062,0.88765,0.73995,0.72737,0.66135,1.12616,0.000775822,0.000775822,0.000775822
29,561.893,0.78529,0.7911,1.33661,0.80543,0.85805,0.89767,0.72899,0.75154,0.63475,1.14818,0.000742815,0.000742815,0.000742815
30,580.625,0.77405,0.78579,1.33816,0.84993,0.89846,0.88089,0.70972,0.75962,0.66364,1.1435,0.000709809,0.000709809,0.000709809
31,600.45,0.77785,0.80698,1.33394,0.75479,0.83017,0.87418,0.69605,0.83659,0.80118,1.20571,0.000676802,0.000676802,0.000676802
32,618.98,0.75255,0.77411,1.32229,0.86,0.88889,0.90856,0.76932,0.6901,0.623,1.10426,0.000643795,0.000643795,0.000643795
